Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.057721,560.000,-109.572544
-0.001095,564.000,-114.321316
-0.057500,568.000,-111.036189
-0.001043,572.000,-111.377866
-0.057142,576.000,-119.037246
-0.001085,580.000,-121.849415
-0.057270,584.000,-127.532287
-0.001097,588.000,-123.942288
-0.057271,592.000,-131.162093
-0.001204,596.000,-129.129276
-0.057502,600.000,-115.382585
-0.001081,604.000,-118.617964
-0.057595,608.000,-116.131824
-0.000265,612.000,-119.035040
-0.057562,616.000,-121.303873
0.000645,620.000,-116.362985
-0.057503,624.000,-113.342045
0.001142,628.000,-117.242520
-0.057550,632.000,-123.379848
0.001383,636.000,-128.844109
-0.057468,640.000,-116.516258
0.001350,644.000,-114.095319
-0.057510,648.000,-113.163524
0.001245,652.000,-114.623646
-0.057458,656.000,-123.293244
0.001121,660.000,-118.771529
-0.057127,664.000,-121.928332
0.000978,668.000,-121.857488
-0.057082,672.000,-116.361736
0.000768,676.000,-112.872568
-0.057222,680.000,-114.031413
0.000723,684.000,-113.479648
-0.057252,688.000,-125.851546
0.000500,692.000,-116.315833
-0.057088,696.000,-112.248125
-0.000016,700.000,-113.185040
-0.057371,704.000,-121.644671
-0.000638,708.000,-124.687695
-0.057258,712.000,-129.851438
-0.001022,716.000,-114.299513
-0.057186,720.000,-115.403765
-0.001123,724.000,-127.333130
-0.057230,728.000,-131.094469
-0.001159,732.000,-118.540535
-0.056960,736.000,-117.022399
-0.001164,740.000,-113.975298
-0.056863,744.000,-129.116013
-0.001116,748.000,-116.208168
-0.056909,752.000,-113.817533
-0.001208,756.000,-111.927541
-0.057007,760.000,-120.850926
-0.001052,764.000,-114.369457
-0.057205,768.000,-115.228739
-0.001099,772.000,-115.146076
-0.057244,776.000,-111.538694
-0.000743,780.000,-116.511905
-0.057206,784.000,-115.895121
0.000193,788.000,-112.085116
-0.057149,792.000,-110.852362
0.000837,796.000,-113.564948
-0.057118,800.000,-116.721797
0.001194,804.000,-113.778780
-0.057250,808.000,-119.297307
0.001285,812.000,-118.914261
-0.057093,816.000,-118.348328
0.001326,820.000,-123.009335
-0.057028,824.000,-130.230654
0.001219,828.000,-123.070529
-0.057156,832.000,-124.974570
0.001101,836.000,-126.140430
-0.057090,840.000,-117.121409
0.000935,844.000,-115.467729
-0.057225,848.000,-113.178448
0.000718,852.000,-115.381645
-0.056949,856.000,-120.023943
0.000446,860.000,-120.064226
-0.056839,864.000,-116.489379
-0.000017,868.000,-116.548022
-0.056953,872.000,-123.124560
-0.000584,876.000,-116.954788
-0.056918,880.000,-111.292557
-0.000875,884.000,-110.318510
-0.057062,888.000,-108.341866
-0.000965,892.000,-111.284308
-0.057241,896.000,-116.957734
-0.001018,900.000,-112.782658
-0.056916,904.000,-109.965518
-0.001163,908.000,-110.656990
-0.057114,912.000,-112.729418
-0.001251,916.000,-116.181438
-0.057153,920.000,-117.026489
-0.001148,924.000,-120.884247
-0.057058,928.000,-116.898592
-0.001200,932.000,-116.591602
-0.057060,936.000,-118.892150
-0.001139,940.000,-115.995699
-0.057478,944.000,-115.966586
-0.000926,948.000,-118.094803
-0.057203,952.000,-119.560852
0.000038,956.000,-119.528545
-0.057139,960.000,-116.015158
0.000779,964.000,-115.794836
-0.057090,968.000,-123.656192
0.001137,972.000,-114.870898
-0.057061,976.000,-111.546275
0.001257,980.000,-114.492546
-0.057024,984.000,-116.263297
0.001334,988.000,-113.058620
-0.056957,992.000,-113.437709
0.001239,996.000,-111.856255
-0.057108,1000.000,-114.779599
0.001158,1004.000,-120.607357
-0.056887,1008.000,-115.274482
0.000968,1012.000,-121.129426
-0.056819,1016.000,-124.288644
0.000813,1020.000,-113.158612
-0.056702,1024.000,-112.554798
0.000607,1028.000,-117.437433
-0.056917,1032.000,-113.852121
0.000414,1036.000,-110.272410
-0.056787,1040.000,-110.770136
-0.000102,1044.000,-116.479744
-0.056826,1048.000,-121.994604
-0.000687,1052.000,-114.079349
-0.056980,1056.000,-113.423692
-0.001009,1060.000,-122.488077
-0.057004,1064.000,-113.099908
-0.001022,1068.000,-117.922630
-0.056993,1072.000,-125.287779
-0.001106,1076.000,-115.226796
-0.056849,1080.000,-114.653407
-0.001052,1084.000,-137.344773
-0.056875,1088.000,-117.534881
-0.001117,1092.000,-119.674391
-0.056921,1096.000,-122.340721
-0.001223,1100.000,-115.163939
-0.056970,1104.000,-119.363313
-0.001180,1108.000,-121.108991
-0.056782,1112.000,-128.121807
-0.001187,1116.000,-112.617549
-0.057020,1120.000,-110.311968
-0.001187,1124.000,-113.095451
-0.057032,1128.000,-113.405639
-0.000575,1132.000,-114.679297
-0.056803,1136.000,-121.240764
0.000468,1140.000,-135.999332
-0.056931,1144.000,-128.562462
0.001050,1148.000,-122.758215
-0.056858,1152.000,-127.759561
0.001340,1156.000,-116.883673
-0.056945,1160.000,-131.149824
0.001278,1164.000,-117.879452
-0.057086,1168.000,-116.123165
0.001328,1172.000,-114.242521
-0.057130,1176.000,-110.459585
0.001191,1180.000,-113.774492
-0.056940,1184.000,-124.365997
0.001095,1188.000,-120.764222
-0.056677,1192.000,-116.524947
0.000921,1196.000,-126.083668
-0.056747,1200.000,-124.120004
0.000715,1204.000,-117.435495
-0.056814,1208.000,-114.284343
0.000505,1212.000,-124.786333
-0.056719,1216.000,-126.275351
0.000112,1220.000,-116.176918
-0.056791,1224.000,-110.798300
-0.000560,1228.000,-114.767494
-0.057019,1232.000,-120.133057
-0.000929,1236.000,-122.019539
-0.056797,1240.000,-112.506895
-0.001082,1244.000,-110.671211
-0.056727,1248.000,-119.552477
-0.001185,1252.000,-131.200123
-0.056738,1256.000,-117.556793
-0.001168,1260.000,-113.115950
-0.056954,1264.000,-112.351059
-0.001055,1268.000,-119.400439
-0.056764,1272.000,-127.903554
-0.001145,1276.000,-127.602034
-0.057056,1280.000,-120.660077
-0.001090,1284.000,-115.664707
-0.056993,1288.000,-117.173523
-0.001213,1292.000,-114.468256
-0.057044,1296.000,-121.654186
-0.000801,1300.000,-114.908475
-0.056962,1304.000,-120.149841
0.000216,1308.000,-116.984757
-0.056914,1312.000,-113.441030
0.000881,1316.000,-118.745665
-0.056990,1320.000,-122.752614
0.001262,1324.000,-118.759880
-0.056856,1328.000,-121.096623
0.001374,1332.000,-120.083802
-0.056705,1336.000,-123.939061
0.001407,1340.000,-121.028223
-0.056614,1344.000,-116.722338
0.001168,1348.000,-125.856301
-0.056547,1352.000,-112.509193
0.000901,1356.000,-117.352467
-0.056864,1360.000,-123.872472
0.000747,1364.000,-119.083004
-0.057063,1368.000,-126.154354
0.000688,1372.000,-127.460898
-0.057160,1376.000,-113.180937
0.000427,1380.000,-111.988638
-0.057026,1384.000,-120.156638
-0.000209,1388.000,-114.680390
-0.056858,1392.000,-111.218881
-0.000716,1396.000,-111.832719
-0.056568,1400.000,-113.084171
-0.000965,1404.000,-130.875588
-0.056694,1408.000,-125.537781
-0.001137,1412.000,-120.266669
-0.056867,1416.000,-117.718049
-0.001181,1420.000,-117.978374
-0.057055,1424.000,-115.099848
-0.001121,1428.000,-113.100935
-0.057153,1432.000,-110.169585
-0.001069,1436.000,-110.663566
-0.057093,1440.000,-112.657064
-0.001102,1444.000,-123.332295
-0.056821,1448.000,-114.646124
-0.001111,1452.000,-113.320105
-0.056933,1456.000,-115.081852
-0.001148,1460.000,-124.246375
-0.057220,1464.000,-120.838978
-0.000648,1468.000,-122.469769
-0.056834,1472.000,-124.561116
0.000418,1476.000,-116.189504
-0.057074,1480.000,-118.449734
0.000915,1484.000,-118.815011
-0.056830,1488.000,-112.465616
0.001252,1492.000,-117.105591
-0.056734,1496.000,-114.268454
0.001393,1500.000,-117.937524
-0.056819,1504.000,-119.333443
0.001306,1508.000,-115.667080
-0.057098,1512.000,-116.736264
0.001203,1516.000,-120.490303
-0.056823,1520.000,-118.985809
0.001062,1524.000,-113.831382
-0.056610,1528.000,-115.054503
0.000912,1532.000,-114.733536
-0.056721,1536.000,-112.089640
0.000663,1540.000,-113.067435
-0.056719,1544.000,-117.699527
0.000511,1548.000,-123.583018
-0.057012,1552.000,-129.912074
0.000186,1556.000,-120.441742
-0.056698,1560.000,-124.944556
-0.000483,1564.000,-123.893855
-0.056682,1568.000,-121.032928
-0.000840,1572.000,-116.429569
-0.056725,1576.000,-118.842224
-0.000966,1580.000,-125.317391
-0.056779,1584.000,-114.629302
-0.001040,1588.000,-112.867924
-0.056811,1592.000,-120.882989
-0.001113,1596.000,-118.007643
-0.056913,1600.000,-112.438556
-0.001143,1604.000,-111.286643
-0.056800,1608.000,-116.689551
-0.001257,1612.000,-119.562094
-0.056685,1616.000,-117.116198
-0.001172,1620.000,-115.924860
-0.056677,1624.000,-119.176449
-0.001113,1628.000,-127.685878
-0.056587,1632.000,-114.918862
-0.001134,1636.000,-120.218202
-0.056570,1640.000,-119.620536
-0.000982,1644.000,-124.371427
-0.056574,1648.000,-124.944586
-0.000077,1652.000,-123.595533
-0.056390,1656.000,-117.251124
0.000821,1660.000,-117.687323
-0.056613,1664.000,-123.271023
0.001266,1668.000,-124.574755
-0.056781,1672.000,-117.349977
0.001322,1676.000,-123.771407
-0.056663,1680.000,-112.777085
0.001317,1684.000,-109.433466
-0.056627,1688.000,-111.266828
0.001344,1692.000,-114.638813
-0.056416,1696.000,-117.402509
0.001143,1700.000,-119.065774
-0.056388,1704.000,-119.440389
0.001000,1708.000,-134.461259
-0.056389,1712.000,-121.021141
0.000882,1716.000,-115.564681
-0.056349,1720.000,-110.442482
0.000759,1724.000,-111.118538
-0.056379,1728.000,-119.252037
0.000545,1732.000,-120.741081
-0.056565,1736.000,-115.547786
0.000255,1740.000,-110.854678
-0.056631,1744.000,-116.470024
-0.000474,1748.000,-121.914467
-0.056485,1752.000,-115.003095
-0.000835,1756.000,-112.718336
-0.056453,1760.000,-114.132499
-0.001027,1764.000,-114.866963
-0.056709,1768.000,-116.659581
-0.001156,1772.000,-117.890570
-0.056338,1776.000,-119.007286
-0.001088,1780.000,-115.067756
-0.056276,1784.000,-114.895681
-0.001142,1788.000,-119.731801
-0.056450,1792.000,-117.780694
-0.001095,1796.000,-115.991069
-0.056226,1800.000,-119.234167
-0.001206,1804.000,-127.012334
-0.056088,1808.000,-114.896966
-0.001209,1812.000,-118.560332
-0.056176,1816.000,-115.908665
-0.001181,1820.000,-114.873662
-0.056172,1824.000,-125.075225
-0.000908,1828.000,-133.823763
-0.056209,1832.000,-125.128354
-0.000056,1836.000,-114.003339
-0.056068,1840.000,-112.405430
0.000845,1844.000,-114.591370
-0.056260,1848.000,-122.561474
0.001224,1852.000,-119.293975
-0.056502,1856.000,-118.431531
0.001356,1860.000,-119.245653
-0.056361,1864.000,-123.429142
0.001347,1868.000,-124.360862
-0.056561,1872.000,-117.823875
0.001257,1876.000,-113.939908
-0.056561,1880.000,-116.219326
0.001142,1884.000,-122.195203
-0.056397,1888.000,-122.783099
0.000938,1892.000,-118.544715
-0.056550,1896.000,-115.482029
0.000906,1900.000,-114.844302
-0.056429,1904.000,-113.879104
0.000697,1908.000,-115.325657
-0.056447,1912.000,-118.303740
0.000353,1916.000,-118.682611
-0.056308,1920.000,-134.193001
-0.000148,1924.000,-116.451199
-0.056392,1928.000,-114.897241
-0.000732,1932.000,-114.568979
-0.056298,1936.000,-118.631023
-0.001002,1940.000,-117.445535
-0.056273,1944.000,-112.431920
-0.001126,1948.000,-110.888763
-0.056372,1952.000,-113.754392
-0.001137,1956.000,-127.372519
-0.056579,1960.000,-117.118555
-0.001162,1964.000,-116.177394
-0.056333,1968.000,-120.360610
-0.001066,1972.000,-113.642268
-0.056650,1976.000,-120.900369
-0.001095,1980.000,-119.240489
-0.056467,1984.000,-112.689705
-0.001091,1988.000,-118.505811
-0.056271,1992.000,-113.316266
-0.001055,1996.000,-116.898084
-0.056399,2000.000,-118.676048
-0.000369,2004.000,-124.350970
-0.056382,2008.000,-117.934119
0.000617,2012.000,-115.851219
-0.056390,2016.000,-120.642293
0.001015,2020.000,-121.053302
-0.056517,2024.000,-120.024827
0.001304,2028.000,-124.495120
-0.056347,2032.000,-120.823815
0.001366,2036.000,-118.359103
-0.056278,2040.000,-122.101637
0.001266,2044.000,-144.225069
-0.056454,2048.000,-119.120400
0.001152,2052.000,-124.369969
-0.056584,2056.000,-120.239482
0.000921,2060.000,-119.130461
-0.056680,2064.000,-118.498638
0.000809,2068.000,-131.589006
-0.056861,2072.000,-117.319981
0.000549,2076.000,-116.722533
-0.056622,2080.000,-116.077997
0.000416,2084.000,-117.652014
-0.056497,2088.000,-120.286545
-0.000197,2092.000,-122.950970
-0.056449,2096.000,-118.358225
-0.000708,2100.000,-115.158098
-0.056320,2104.000,-119.746316
-0.000909,2108.000,-121.425231
-0.056212,2112.000,-130.701338
-0.001028,2116.000,-118.611332
-0.056472,2120.000,-115.739511
-0.001102,2124.000,-119.457067
-0.056513,2128.000,-122.416834
-0.001217,2132.000,-115.837826
-0.056567,2136.000,-110.794040
-0.001203,2140.000,-119.891230
-0.056583,2144.000,-113.734491
-0.001183,2148.000,-120.695453
-0.056651,2152.000,-122.709511
-0.001078,2156.000,-113.171154
-0.056374,2160.000,-118.603440
-0.001088,2164.000,-124.935951
-0.056285,2168.000,-129.805470
-0.000751,2172.000,-116.362062
-0.056329,2176.000,-112.874025
0.000279,2180.000,-128.280704
-0.056430,2184.000,-114.632725
0.000931,2188.000,-115.989507
-0.056376,2192.000,-119.083767
0.001275,2196.000,-114.958383
-0.056421,2200.000,-117.685812
0.001341,2204.000,-128.693463
-0.056175,2208.000,-127.357289
0.001280,2212.000,-119.840881
-0.056296,2216.000,-120.668101
0.001134,2220.000,-120.959117
-0.056097,2224.000,-119.582947
0.001047,2228.000,-120.392255
-0.056139,2232.000,-116.502487
0.000954,2236.000,-124.618987
-0.056074,2240.000,-134.859463
0.000755,2244.000,-126.785198
-0.055974,2248.000,-116.301327
0.000578,2252.000,-114.156893
-0.056166,2256.000,-120.714571
0.000134,2260.000,-122.644263
-0.056109,2264.000,-115.188117
-0.000434,2268.000,-117.220963
-0.056047,2272.000,-119.589430
-0.000836,2276.000,-121.061228
-0.056254,2280.000,-117.434726
-0.001049,2284.000,-113.920510
-0.056525,2288.000,-116.475234
-0.001103,2292.000,-124.777015
-0.056399,2296.000,-117.205634
-0.001102,2300.000,-119.811257
-0.056491,2304.000,-120.659286
-0.001048,2308.000,-117.980660
-0.056407,2312.000,-136.444091
-0.001111,2316.000,-118.132777
-0.056402,2320.000,-125.580045
-0.001209,2324.000,-122.725262
-0.056429,2328.000,-119.288465
-0.001206,2332.000,-121.688317
-0.056633,2336.000,-126.857632
-0.001218,2340.000,-129.070571
-0.056511,2344.000,-118.508617
-0.000642,2348.000,-120.221307
-0.056282,2352.000,-115.437892
0.000421,2356.000,-111.483090
-0.056077,2360.000,-112.323660
0.001038,2364.000,-114.793644
-0.056049,2368.000,-123.553791
0.001238,2372.000,-118.505069
-0.056556,2376.000,-116.982792
0.001278,2380.000,-117.791406
-0.056491,2384.000,-116.901681
0.001312,2388.000,-112.579032
-0.056356,2392.000,-112.521354
0.001132,2396.000,-118.610154
-0.056323,2400.000,-121.455263
0.001042,2404.000,-123.721335
-0.056280,2408.000,-121.328781
0.000964,2412.000,-114.414098
-0.056252,2416.000,-112.292436
0.000777,2420.000,-116.151791
-0.056169,2424.000,-138.581934
0.000598,2428.000,-125.257814
-0.056103,2432.000,-119.367775
0.000330,2436.000,-116.954960
-0.056196,2440.000,-121.054505
-0.000253,2444.000,-114.024618
-0.056345,2448.000,-113.761171
-0.000882,2452.000,-116.427004
-0.056350,2456.000,-131.557368
-0.001011,2460.000,-115.885470
-0.056306,2464.000,-133.079404
-0.001092,2468.000,-122.898030
-0.056184,2472.000,-126.109413
-0.001152,2476.000,-115.777701
-0.056313,2480.000,-112.799446
-0.001078,2484.000,-112.521252
-0.056242,2488.000,-113.459734
-0.001083,2492.000,-116.932744
-0.056291,2496.000,-118.349592
-0.001051,2500.000,-118.486807
-0.056068,2504.000,-117.814490
-0.001104,2508.000,-117.476891
-0.056141,2512.000,-120.065665
-0.001131,2516.000,-125.515612
-0.056166,2520.000,-125.938729
-0.001044,2524.000,-121.174966
-0.056038,2528.000,-121.446834
-0.000388,2532.000,-121.577293
-0.056038,2536.000,-114.269450
0.000688,2540.000,-114.595128
-0.055943,2544.000,-125.622783
0.001169,2548.000,-126.840539
-0.056008,2552.000,-124.108047
0.001451,2556.000,-114.488913
-0.056312,2560.000,-111.373502
0.001409,2564.000,-114.390076
-0.056201,2568.000,-122.336788
0.001294,2572.000,-115.538896
-0.055998,2576.000,-112.011367
0.001186,2580.000,-114.940273
-0.056132,2584.000,-120.921582
0.001081,2588.000,-114.552039
-0.055926,2592.000,-116.703841
0.000862,2596.000,-117.603209
-0.055934,2600.000,-118.687346
0.000620,2604.000,-113.506141
-0.055959,2608.000,-113.899875
0.000549,2612.000,-121.962828
-0.056062,2616.000,-120.829956
0.000032,2620.000,-112.030872
-0.056102,2624.000,-110.855205
-0.000523,2628.000,-122.635712
-0.056164,2632.000,-120.140194
-0.000900,2636.000,-140.684954
-0.056148,2640.000,-126.960152
-0.001050,2644.000,-127.159906
-0.056105,2648.000,-125.115827
-0.001142,2652.000,-123.429582
-0.055919,2656.000,-117.596433
-0.001164,2660.000,-116.619136
-0.056036,2664.000,-118.007199
-0.001140,2668.000,-120.835656
-0.056297,2672.000,-126.936473
-0.001170,2676.000,-118.681550
-0.056309,2680.000,-119.591428
-0.001116,2684.000,-127.907493
-0.056097,2688.000,-122.981775
-0.001122,2692.000,-116.251396
-0.056064,2696.000,-117.208170
-0.000914,2700.000,-128.105453
-0.055952,2704.000,-119.078018
-0.000119,2708.000,-117.296453
-0.056200,2712.000,-116.964527
0.000666,2716.000,-114.353003
-0.056195,2720.000,-120.748705
0.001141,2724.000,-121.898986
-0.056344,2728.000,-116.884023
0.001262,2732.000,-128.795059
-0.056284,2736.000,-117.713632
0.001331,2740.000,-118.672891
-0.056365,2744.000,-131.658932
0.001258,2748.000,-131.247828
-0.056105,2752.000,-124.639573
0.001198,2756.000,-117.566594
-0.055993,2760.000,-115.557765
0.000959,2764.000,-113.448335
-0.055955,2768.000,-116.237747
0.000766,2772.000,-119.811780
-0.055845,2776.000,-114.628980
0.000623,2780.000,-113.224253
-0.055807,2784.000,-118.508642
0.000380,2788.000,-116.072949
-0.055668,2792.000,-113.625883
-0.000122,2796.000,-122.686149
-0.055766,2800.000,-124.039011
-0.000722,2804.000,-136.646381
-0.055811,2808.000,-116.059916
-0.000956,2812.000,-111.164203
-0.055591,2816.000,-109.948890
-0.001037,2820.000,-114.972353
-0.055676,2824.000,-130.919847
-0.001114,2828.000,-117.886777
-0.055903,2832.000,-116.804772
-0.001251,2836.000,-124.257370
-0.055993,2840.000,-120.703063
-0.001197,2844.000,-118.853597
-0.056002,2848.000,-131.783495
-0.001129,2852.000,-126.399975
-0.056006,2856.000,-122.105719
-0.001126,2860.000,-121.423951
-0.055949,2864.000,-120.907406
-0.001054,2868.000,-122.713460
-0.055809,2872.000,-122.528415
-0.000700,2876.000,-131.660755
-0.055904,2880.000,-127.813983
0.000103,2884.000,-117.943712
-0.056056,2888.000,-123.519990
0.000919,2892.000,-120.653749
-0.055934,2896.000,-115.721883
0.001320,2900.000,-117.268343
-0.055934,2904.000,-121.772224
0.001350,2908.000,-117.858705
-0.055799,2912.000,-115.723660
0.001289,2916.000,-114.307911
-0.055678,2920.000,-115.441512
0.001150,2924.000,-113.301104
-0.055865,2928.000,-115.907993
0.001028,2932.000,-115.769170
-0.055747,2936.000,-115.164479
0.000903,2940.000,-115.018751
-0.055749,2944.000,-112.238361
0.000721,2948.000,-123.343954
-0.055741,2952.000,-118.237780
0.000607,2956.000,-121.544735
-0.055806,2960.000,-122.045933
0.000341,2964.000,-124.640339
-0.056034,2968.000,-126.753066
-0.000139,2972.000,-118.183877
-0.056065,2976.000,-126.907958
-0.000737,2980.000,-118.263079
-0.055989,2984.000,-115.842582
-0.000955,2988.000,-116.128291
-0.055999,2992.000,-114.079175
-0.000988,2996.000,-113.043468
-0.055926,3000.000,-118.534639
-0.000998,3004.000,-124.552116
-0.055739,3008.000,-121.549899
-0.001068,3012.000,-119.516492
-0.055744,3016.000,-118.989683
-0.001155,3020.000,-124.001650
-0.055729,3024.000,-126.902856
-0.001158,3028.000,-121.806475
-0.055612,3032.000,-112.607314
-0.001185,3036.000,-114.016580
-0.055611,3040.000,-142.599923
-0.001161,3044.000,-121.816699
-0.055844,3048.000,-126.215164
-0.001015,3052.000,-126.634907
-0.055615,3056.000,-127.016618
-0.000068,3060.000,-126.537112
-0.055480,3064.000,-114.448424
0.000830,3068.000,-114.387919
-0.055532,3072.000,-118.727684
0.001155,3076.000,-116.843258
-0.055515,3080.000,-115.720693
0.001377,3084.000,-120.981405
-0.055292,3088.000,-128.169852
0.001266,3092.000,-120.986068
-0.055425,3096.000,-117.925325
0.001234,3100.000,-120.615796
-0.055465,3104.000,-112.920574
0.001075,3108.000,-116.549035
-0.055495,3112.000,-118.734306
0.000885,3116.000,-117.163786
-0.055663,3120.000,-120.596922
0.000774,3124.000,-121.211492
-0.055546,3128.000,-117.072356
0.000602,3132.000,-131.645336
-0.055572,3136.000,-117.833341
0.000469,3140.000,-117.635386
-0.055762,3144.000,-123.468573
0.000081,3148.000,-119.650487
-0.055660,3152.000,-138.299064
-0.000479,3156.000,-119.279396
-0.055724,3160.000,-116.428386
-0.000914,3164.000,-114.937718
-0.055797,3168.000,-115.186068
-0.001082,3172.000,-116.343388
-0.055629,3176.000,-117.800142
-0.001176,3180.000,-123.562432
-0.055561,3184.000,-120.166385
-0.001105,3188.000,-127.390328
-0.055688,3192.000,-118.154607
-0.001106,3196.000,-117.702180
-0.055803,3200.000,-117.981519
-0.001133,3204.000,-118.264493
-0.055632,3208.000,-113.272851
-0.001166,3212.000,-110.071167
-0.055626,3216.000,-113.916480
-0.001143,3220.000,-120.875071
-0.055601,3224.000,-119.840272
-0.001102,3228.000,-119.306034
-0.055473,3232.000,-125.217086
-0.000330,3236.000,-124.273715
-0.055615,3240.000,-115.624853
0.000660,3244.000,-120.597322
-0.055412,3248.000,-127.847728
0.001061,3252.000,-124.548065
-0.055367,3256.000,-118.806150
0.001388,3260.000,-117.320537
-0.055486,3264.000,-113.260530
0.001416,3268.000,-113.577983
-0.055497,3272.000,-117.976199
0.001280,3276.000,-124.501190
-0.055576,3280.000,-119.154242
0.001153,3284.000,-123.441542
-0.055711,3288.000,-128.892800
0.000996,3292.000,-119.587371
-0.055492,3296.000,-120.700679
0.000860,3300.000,-126.635471
-0.055483,3304.000,-119.228742
0.000603,3308.000,-114.843052
-0.055640,3312.000,-120.909035
0.000362,3316.000,-122.366980
-0.055590,3320.000,-114.500048
-0.000281,3324.000,-113.419438
-0.055608,3328.000,-115.189873
-0.000726,3332.000,-121.409343
-0.055615,3336.000,-131.301188
-0.000912,3340.000,-121.953730
-0.055616,3344.000,-115.370243
-0.001139,3348.000,-115.181739
-0.055579,3352.000,-117.250528
-0.001175,3356.000,-127.075480
-0.055481,3360.000,-122.383184
-0.001117,3364.000,-118.712759
-0.055582,3368.000,-121.718064
-0.001204,3372.000,-125.079891
-0.055667,3376.000,-117.878373
-0.001170,3380.000,-117.452270
