Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.057782,0.000,-54.618397
0.000171,4.000,-44.971000
-0.057992,8.000,-57.961854
-0.000423,12.000,-70.954336
-0.058007,16.000,-79.211226
-0.000870,20.000,-84.823675
-0.057880,24.000,-90.272316
-0.001046,28.000,-93.915634
-0.058122,32.000,-97.092202
-0.001089,36.000,-102.298285
-0.057686,40.000,-103.597666
-0.001026,44.000,-103.305831
-0.057866,48.000,-109.131797
-0.001132,52.000,-113.497783
-0.057792,56.000,-103.311859
-0.001102,60.000,-95.539383
-0.058004,64.000,-103.702192
-0.001175,68.000,-109.863370
-0.058028,72.000,-110.684067
-0.001139,76.000,-111.330719
-0.057937,80.000,-117.443573
-0.001208,84.000,-117.147626
-0.057608,88.000,-114.944808
-0.000623,92.000,-117.274781
-0.057880,96.000,-112.631234
0.000355,100.000,-116.137420
-0.057880,104.000,-113.801287
0.001103,108.000,-112.627131
-0.057984,112.000,-115.615327
0.001364,116.000,-119.266001
-0.057992,120.000,-115.694881
0.001403,124.000,-128.243813
-0.057898,128.000,-116.618805
0.001355,132.000,-117.767903
-0.057906,136.000,-120.474220
0.001151,140.000,-121.236839
-0.057939,144.000,-118.103369
0.000992,148.000,-121.253434
-0.057632,152.000,-119.187891
0.000825,156.000,-112.220617
-0.057710,160.000,-112.256586
0.000690,164.000,-123.196429
-0.057480,168.000,-113.234053
0.000497,172.000,-116.514411
-0.057418,176.000,-110.779859
-0.000054,180.000,-105.360310
-0.057471,184.000,-114.531368
-0.000597,188.000,-129.448340
-0.057740,192.000,-116.002166
-0.000917,196.000,-112.299866
-0.057692,200.000,-113.260200
-0.001034,204.000,-122.383372
-0.057775,208.000,-119.058325
-0.001198,212.000,-114.447072
-0.057720,216.000,-119.436682
-0.001215,220.000,-126.298386
-0.057553,224.000,-117.504677
-0.001150,228.000,-122.613948
-0.057518,232.000,-115.819343
-0.001066,236.000,-116.024600
-0.057259,240.000,-121.459038
-0.001142,244.000,-124.482069
-0.057366,248.000,-130.938913
-0.001046,252.000,-123.468207
-0.057464,256.000,-119.126314
-0.000361,260.000,-120.234589
-0.057553,264.000,-118.710411
0.000543,268.000,-116.462439
-0.057604,272.000,-122.676725
0.001038,276.000,-137.346020
-0.057418,280.000,-124.892885
0.001350,284.000,-119.055654
-0.057478,288.000,-113.378794
0.001413,292.000,-113.547523
-0.057466,296.000,-108.919450
0.001284,300.000,-109.142376
-0.057410,304.000,-117.291402
0.001101,308.000,-119.214738
-0.057461,312.000,-122.482974
0.000901,316.000,-129.747606
-0.057564,320.000,-119.185168
0.000732,324.000,-113.667362
-0.057510,328.000,-120.579124
0.000660,332.000,-126.451755
-0.057431,336.000,-114.844702
0.000274,340.000,-114.964587
-0.057319,344.000,-114.543869
-0.000341,348.000,-114.503568
-0.057129,352.000,-112.505496
-0.000678,356.000,-115.873486
-0.057153,360.000,-113.392526
-0.000920,364.000,-111.472531
-0.057269,368.000,-113.098781
-0.001026,372.000,-113.098015
-0.057268,376.000,-120.487964
-0.001126,380.000,-114.946231
-0.057470,384.000,-113.034820
-0.001224,388.000,-120.815411
-0.057375,392.000,-117.940866
-0.001200,396.000,-128.955125
-0.057015,400.000,-122.531228
-0.001161,404.000,-130.521004
-0.057237,408.000,-141.068469
-0.001159,412.000,-121.363305
-0.057542,416.000,-112.056684
-0.001258,420.000,-110.336781
-0.057642,424.000,-120.289213
-0.000790,428.000,-112.083862
-0.057879,432.000,-117.233160
0.000216,436.000,-118.387669
-0.057587,440.000,-122.149840
0.000932,444.000,-122.835603
-0.057527,448.000,-124.892271
0.001326,452.000,-119.784141
-0.057593,456.000,-119.102683
0.001303,460.000,-115.123216
-0.057389,464.000,-121.772799
0.001368,468.000,-114.856502
-0.057603,472.000,-117.963586
0.001191,476.000,-123.444053
-0.057254,480.000,-117.137408
0.001086,484.000,-121.431490
-0.057444,488.000,-120.461512
0.001048,492.000,-116.968983
-0.057458,496.000,-123.010745
0.000893,500.000,-117.495015
-0.057393,504.000,-126.325172
0.000612,508.000,-117.938183
-0.057484,512.000,-127.721765
0.000502,516.000,-116.187243
-0.057765,520.000,-122.536272
0.000024,524.000,-121.156711
-0.057639,528.000,-126.600651
-0.000675,532.000,-128.958298
-0.057663,536.000,-114.860251
-0.000914,540.000,-112.615555
-0.057692,544.000,-115.878740
-0.001088,548.000,-122.425419
-0.057628,552.000,-119.111189
-0.001123,556.000,-115.799748
