Time data (V), Frequency (Hz), Spectrum (dBFS)
0.001194,804.000,-128.280534
-0.057250,808.000,-128.870219
0.001285,812.000,-134.120605
-0.057093,816.000,-133.083009
0.001326,820.000,-130.576621
-0.057028,824.000,-137.644345
0.001219,828.000,-124.901863
-0.057156,832.000,-124.997725
0.001101,836.000,-125.113999
-0.057090,840.000,-126.950725
0.000935,844.000,-148.254060
-0.057225,848.000,-126.836719
0.000718,852.000,-126.028892
-0.056949,856.000,-128.285576
0.000446,860.000,-132.179706
-0.056839,864.000,-126.357246
-0.000017,868.000,-125.281031
-0.056953,872.000,-134.821317
-0.000584,876.000,-137.999942
-0.056918,880.000,-134.955968
-0.000875,884.000,-126.470753
-0.057062,888.000,-121.882473
-0.000965,892.000,-127.209281
-0.057241,896.000,-135.470755
-0.001018,900.000,-131.472018
-0.056916,904.000,-130.862393
-0.001163,908.000,-128.222517
-0.057114,912.000,-132.203122
-0.001251,916.000,-123.873175
-0.057153,920.000,-130.100210
-0.001148,924.000,-127.261537
-0.057058,928.000,-122.412728
-0.001200,932.000,-122.128656
-0.057060,936.000,-129.892307
-0.001139,940.000,-132.358973
-0.057478,944.000,-130.525253
-0.000926,948.000,-127.659617
-0.057203,952.000,-131.517184
0.000038,956.000,-140.845863
-0.057139,960.000,-134.393633
0.000779,964.000,-130.068297
-0.057090,968.000,-124.078015
0.001137,972.000,-131.473616
-0.057061,976.000,-129.983781
0.001257,980.000,-125.814903
-0.057024,984.000,-124.860762
0.001334,988.000,-127.622644
-0.056957,992.000,-132.135660
0.001239,996.000,-127.895786
-0.057108,1000.000,-129.774850
0.001158,1004.000,-125.095350
-0.056887,1008.000,-128.175040
0.000968,1012.000,-123.417290
-0.056819,1016.000,-122.539551
0.000813,1020.000,-130.242999
-0.056702,1024.000,-126.534794
0.000607,1028.000,-129.667029
-0.056917,1032.000,-137.001561
0.000414,1036.000,-135.282662
-0.056787,1040.000,-149.796900
-0.000102,1044.000,-125.415770
-0.056826,1048.000,-131.268287
-0.000687,1052.000,-132.415074
-0.056980,1056.000,-134.018764
-0.001009,1060.000,-139.222125
-0.057004,1064.000,-135.357469
-0.001022,1068.000,-135.014360
-0.056993,1072.000,-129.285098
-0.001106,1076.000,-128.225839
-0.056849,1080.000,-126.872167
-0.001052,1084.000,-138.780358
-0.056875,1088.000,-128.378414
-0.001117,1092.000,-122.234381
-0.056921,1096.000,-120.995589
-0.001223,1100.000,-128.397026
-0.056970,1104.000,-144.784748
-0.001180,1108.000,-132.289472
-0.056782,1112.000,-135.503465
-0.001187,1116.000,-155.048529
-0.057020,1120.000,-140.519904
-0.001187,1124.000,-127.851991
-0.057032,1128.000,-125.072104
-0.000575,1132.000,-128.229167
-0.056803,1136.000,-133.571261
0.000468,1140.000,-128.423758
-0.056931,1144.000,-130.552758
0.001050,1148.000,-134.779369
-0.056858,1152.000,-132.502261
0.001340,1156.000,-126.442924
-0.056945,1160.000,-121.499667
0.001278,1164.000,-123.183148
-0.057086,1168.000,-123.174593
0.001328,1172.000,-118.208424
-0.057130,1176.000,-118.262091
0.001191,1180.000,-127.585677
-0.056940,1184.000,-124.128748
0.001095,1188.000,-130.775958
-0.056677,1192.000,-138.160564
0.000921,1196.000,-132.987618
-0.056747,1200.000,-128.669669
0.000715,1204.000,-121.698420
-0.056814,1208.000,-122.199222
0.000505,1212.000,-119.839082
-0.056719,1216.000,-123.115600
0.000112,1220.000,-121.785373
-0.056791,1224.000,-120.026191
-0.000560,1228.000,-116.784730
-0.057019,1232.000,-116.231405
-0.000929,1236.000,-121.110071
-0.056797,1240.000,-126.576483
-0.001082,1244.000,-120.522668
-0.056727,1248.000,-124.091248
-0.001185,1252.000,-123.930386
-0.056738,1256.000,-125.022064
-0.001168,1260.000,-123.732482
-0.056954,1264.000,-120.739500
-0.001055,1268.000,-124.447908
-0.056764,1272.000,-128.785739
-0.001145,1276.000,-126.763722
-0.057056,1280.000,-131.035588
-0.001090,1284.000,-134.501742
-0.056993,1288.000,-118.788275
-0.001213,1292.000,-115.649945
